"DNSHostName","IPaddress","isActive","Error","LastUpdate","LastSeen"
"HORNAS-DC.Horna.local","192.168.0.14","True","","2023-08-10 12:14","2023-08-10 12:14"
"Windows10.Horna.local","","False","Windows10.Horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"OPT.Horna.local","","False","OPT.Horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"Ryzen7.Horna.local","192.168.0.21","True","","2023-08-10 12:14","2023-08-10 12:14"
"Lian6700.Horna.local","","False","Lian6700.Horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"RDP-Client.Horna.local","192.168.0.25","True","","2023-08-10 12:14","2023-08-10 12:14"
"HP-Ryzen-7.Horna.local","192.168.0.15","False","Request timed out.
","2023-08-10 12:14",""
"IBM-X3550M4.Horna.local","192.168.0.201","False","Request timed out.
","2023-08-10 12:14",""
"truenas-time.horna.local","","False","truenas-time.horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"Hornas-Azure.Horna.local","","False","Hornas-Azure.Horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"Hornas-2022.Horna.local","","False","Hornas-2022.Horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"Zabbix-PS-TEST.Horna.local","","False","Zabbix-PS-TEST.Horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"mac-mini.horna.local","","False","mac-mini.horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"Windows-VSCode.Horna.local","","False","Windows-VSCode.Horna.local : Nazwa DNS nie istnieje
","2023-08-10 12:14",""
"Service-i7-3770.Horna.local","192.168.0.13","False","","2023-08-10 12:14","2023-08-09 20:55"
"Hyper-V-Server.Horna.local","192.168.0.202","True","","2023-08-10 12:14","2023-08-10 12:14"
"Server-Core.Horna.local","192.168.0.202","True","","2023-08-10 12:14","2023-08-10 12:14"
"Server-Automation.Horna.local","192.168.0.203","True","","2023-08-10 12:14","2023-08-10 12:14"
